average_uptime,average_downtime,machine,e,ct,product
0 days 01:15:57.909090909,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:16.000000000,2015
0 days 01:22:51.200000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,2003
0 days 01:12:20.090909090,0 days 00:00:49.100000000,#20-2,0.9888134280287708,0 days 00:00:13.000000000,1965
0 days 01:16:37.090909090,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,2021
0 days 00:34:49.739130434,0 days 00:00:13.318181818,#30,0.9936672283059473,0 days 00:00:17.000000000,1973
0 days 01:12:50.454545454,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:29.000000000,1957
0 days 03:44:22.600000000,0 days 00:00:10.500000000,#170,0.9992206693337093,0 days 00:00:10.000000000,1580
0 days 03:23:39.250000000,0 days 00:00:20.333333333,#70-2,0.9983387234042825,0 days 00:00:18.000000000,1990
0 days 01:22:08.400000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,1995
0 days 01:13:52.090909090,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:10.000000000,1992
0 days 01:48:15.800000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:19.000000000,1010
0 days 01:13:37.272727272,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,1992
0 days 03:23:23.000000000,0 days 00:00:20.333333333,#70-1,0.9983365148623125,0 days 00:00:16.000000000,1987
0 days 06:43:46.000000000,0 days 00:00:01.000000000,#40,0.9999587237379783,0 days 00:00:13.000000000,1975
0 days 01:46:03.200000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:29.000000000,1016
0 days 01:09:24.583333333,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:16.000000000,2022
0 days 00:14:52.627450980,0 days 00:01:02.880000000,#50-2,0.9341920359328353,0 days 00:00:14.000000000,1980
0 days 00:14:49.207547169,0 days 00:00:31.250000000,#50-1,0.9660494934327891,0 days 00:00:08.000000000,1977
0 days 01:13:54.090909090,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,1983
0 days 01:12:15.909090909,0 days 00:00:49.100000000,#20-1,0.9888027598159844,0 days 00:00:17.000000000,1962
