average_uptime,average_downtime,machine,e,ct,product
0 days 00:47:03.500000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:16.000000000,244
0 days 00:45:55.000000000,0 days 00:01:00.000000000,#110,0.9786856127886323,0 days 00:00:16.000000000,239
0 days 00:43:01.000000000,0 days 00:00:08.000000000,#20-2,0.9969100038624952,0 days 00:00:16.000000000,236
0 days 00:47:20.500000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,245
0 days 00:43:11.500000000,0 days 00:00:16.000000000,#30,0.9938638542665388,0 days 00:00:16.000000000,236
0 days 00:42:46.000000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,233
0 days 05:13:54.000000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:09.000000000,208
0 days 00:10:48.875000000,0 days 00:00:25.428571428,#70-2,0.9622891342928098,0 days 00:00:16.000000000,235
0 days 00:45:54.500000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,238
0 days 00:44:55.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:16.000000000,236
0 days 00:46:54.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:39.000000000,122
0 days 00:30:10.666666666,0 days 00:00:03.500000000,#90,0.9980707395498385,0 days 00:00:16.000000000,237
0 days 00:10:46.500000000,0 days 00:00:25.428571428,#70-1,0.9621558413955243,0 days 00:00:17.000000000,234
0 days 00:43:33.000000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:13.000000000,235
0 days 00:47:16.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:40.000000000,123
0 days 00:47:09.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,245
0 days 00:43:56.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:16.000000000,234
0 days 00:43:46.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:15.000000000,234
0 days 00:44:14.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:16.000000000,233
0 days 00:42:54.500000000,0 days 00:00:08.000000000,#20-1,0.9969022265246854,0 days 00:00:15.000000000,235
