average_uptime,average_downtime,machine,e,ct,product
0 days 00:37:44.800000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:16.000000000,523
0 days 01:33:28.500000000,0 days 00:01:14.000000000,#110,0.9869775626924769,0 days 00:00:13.000000000,526
0 days 00:25:47.857142857,0 days 00:00:19.833333333,#20-2,0.9873486931034999,0 days 00:00:13.000000000,521
0 days 00:37:57.400000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:29.000000000,525
0 days 00:30:15.000000000,0 days 00:00:18.200000000,#30,0.9900720052367445,0 days 00:00:18.000000000,526
0 days 00:36:24.200000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:11.000000000,512
0 days 00:40:13.400000000,0 days 00:01:31.500000000,#170,0.963471595672482,0 days 00:00:10.000000000,433
0 days 00:47:00.250000000,0 days 00:00:38.666666666,#70-2,0.9864750633983703,0 days 00:00:16.000000000,531
0 days 00:37:39.600000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:16.000000000,529
0 days 00:38:01.400000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,532
0 days 00:37:40.400000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:17.000000000,264
0 days 01:33:34.500000000,0 days 00:00:11.000000000,#90,0.998044618256155,0 days 00:00:16.000000000,530
0 days 00:47:01.750000000,0 days 00:00:38.666666666,#70-1,0.9864821558633035,0 days 00:00:16.000000000,533
0 days 00:36:37.400000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:14.000000000,529
0 days 00:37:48.800000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:34.000000000,265
0 days 00:38:28.800000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:12.000000000,526
0 days 00:36:44.800000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,530
0 days 00:36:45.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:07.000000000,530
0 days 00:36:56.800000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:14.000000000,532
0 days 00:25:46.000000000,0 days 00:00:19.833333333,#20-1,0.9873336881321952,0 days 00:00:17.000000000,518
