average_uptime,average_downtime,machine,e,ct,product
0 days 00:32:48.500000000,0 days 00:00:00.000000000,#20-2,1.0,0 days 00:00:16.000000000,156
0 days 00:32:48.500000000,0 days 00:00:00.000000000,#20-1,1.0,0 days 00:00:16.000000000,156
0 days 00:32:14.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:15.000000000,154
0 days 00:31:35.500000000,0 days 00:00:19.000000000,#70-2,0.9900757377905458,0 days 00:00:15.000000000,152
0 days 00:30:52.000000000,0 days 00:00:57.000000000,#100,0.9701414353064431,0 days 00:00:17.000000000,151
0 days 00:32:17.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:17.000000000,155
0 days 00:31:38.000000000,0 days 00:00:19.000000000,#70-1,0.9900886802295253,0 days 00:00:16.000000000,152
0 days 00:16:03.750000000,0 days 00:00:21.000000000,#30,0.9786747905559787,0 days 00:00:18.000000000,156
0 days 00:31:25.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:16.000000000,161
0 days 00:32:28.500000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:13.000000000,155
0 days 00:48:14.500000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:10.000000000,144
0 days 00:32:28.500000000,0 days 00:00:47.000000000,#10,0.9764470057629667,0 days 00:00:13.000000000,157
0 days 00:31:34.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:11.000000000,152
0 days 00:32:04.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:16.000000000,152
0 days 00:30:46.500000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:31.000000000,80
0 days 00:30:48.500000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:14.000000000,155
0 days 00:31:59.500000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,164
0 days 00:32:07.500000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,166
0 days 00:31:23.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:32.000000000,82
0 days 00:31:12.000000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,151
