average_uptime,average_downtime,machine,e,ct,product
0 days 00:48:00.885714285,0 days 00:00:21.323529411,#20-2,0.9926526560904189,0 days 00:00:17.000000000,4132
0 days 00:46:58.171428571,0 days 00:00:21.323529411,#20-1,0.9924903795475818,0 days 00:00:16.000000000,4134
0 days 01:41:37.875000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:14.000000000,4148
0 days 00:58:32.259259259,0 days 00:00:23.615384615,#70-2,0.993321204229931,0 days 00:00:16.000000000,4154
0 days 04:23:21.000000000,0 days 00:00:38.400000000,#100,0.9975756657449146,0 days 00:00:14.000000000,4151
0 days 01:41:34.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:17.000000000,4144
0 days 00:58:32.259259259,0 days 00:00:23.615384615,#70-1,0.993321204229931,0 days 00:00:16.000000000,4154
0 days 00:37:32.866666666,0 days 00:00:21.477272727,#30,0.9905567173218611,0 days 00:00:17.000000000,4135
0 days 01:27:29.555555555,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:34.000000000,4148
0 days 13:49:46.000000000,0 days 00:00:01.000000000,#40,0.9999799144354952,0 days 00:00:14.000000000,4139
0 days 07:12:33.750000000,0 days 00:00:01.666666666,#170,0.9999357873276548,0 days 00:00:10.000000000,3431
0 days 01:27:45.555555555,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,4130
0 days 01:33:20.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,4154
0 days 13:14:57.000000000,0 days 00:00:31.000000000,#60,0.9993504860878311,0 days 00:00:16.000000000,4151
0 days 13:29:54.000000000,0 days 00:00:10.000000000,#120,0.9997942556168217,0 days 00:00:33.000000000,2079
0 days 08:47:18.666666666,0 days 00:00:33.000000000,#110,0.998958059253802,0 days 00:00:15.000000000,4147
0 days 01:27:30.500000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:32.000000000,4150
0 days 01:28:12.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:16.000000000,4151
0 days 01:50:34.866666666,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:36.000000000,2081
0 days 01:33:10.294117647,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,4152
