average_uptime,average_downtime,machine,e,ct,product
0 days 01:47:50.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:17.000000000,1093
0 days 03:35:10.666666666,0 days 00:00:01.000000000,#110,0.9999225506647734,0 days 00:00:16.000000000,1090
0 days 00:50:18.625000000,0 days 00:00:12.857142857,#20-2,0.995758793141073,0 days 00:00:14.000000000,1107
0 days 01:47:45.166666666,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,1092
0 days 00:28:36.928571428,0 days 00:00:18.307692307,#30,0.9894494526828331,0 days 00:00:17.000000000,1107
0 days 03:21:48.000000000,0 days 00:00:02.000000000,#10,0.9998348472336912,0 days 00:00:21.000000000,1101
0 days 03:39:17.333333333,0 days 00:00:26.000000000,#170,0.9980278128950695,0 days 00:00:13.000000000,877
0 days 00:57:17.714285714,0 days 00:00:16.333333333,#70-2,0.995271248362955,0 days 00:00:17.000000000,1094
0 days 01:47:49.333333333,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,1090
0 days 01:07:03.500000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:13.000000000,1093
0 days 01:47:46.333333333,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:29.000000000,549
0 days 01:42:21.500000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,1092
0 days 00:57:30.714285714,0 days 00:00:16.333333333,#70-1,0.9952889792331466,0 days 00:00:16.000000000,1096
0 days 01:07:28.000000000,0 days 00:00:01.000000000,#40,0.9997530254383798,0 days 00:00:13.000000000,1106
0 days 01:47:32.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:34.000000000,547
0 days 01:42:47.666666666,0 days 00:00:00.000000000,#160,1.0,0 days 01:40:00.000000000,1091
0 days 00:23:15.882352941,0 days 00:00:31.937500000,#50-2,0.9776319821200022,0 days 00:00:14.000000000,1102
0 days 00:23:17.117647058,0 days 00:00:32.375000000,#50-1,0.9773521045619716,0 days 00:00:17.000000000,1103
0 days 01:07:26.500000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,1101
0 days 00:50:16.375000000,0 days 00:00:12.857142857,#20-1,0.9957556429317187,0 days 00:00:17.000000000,1105
