average_uptime,average_downtime,machine,e,ct,product
0 days 01:20:36.411764705,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:14.000000000,6865
0 days 04:06:47.090909090,0 days 00:00:32.100000000,#110,0.9978368092845051,0 days 00:00:16.000000000,6820
0 days 01:19:46.272727272,0 days 00:00:19.156250000,#20-2,0.996013623322579,0 days 00:00:08.000000000,6775
0 days 15:17:27.666666666,0 days 00:00:03.000000000,#150,0.999945504747142,0 days 00:00:30.000000000,6881
0 days 00:27:28.200000000,0 days 00:00:23.659574468,#30,0.9858483482528557,0 days 00:00:16.000000000,6786
0 days 01:22:31.531250000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,6760
0 days 12:26:17.600000000,0 days 00:00:03.250000000,#170,0.9999274243342857,0 days 00:00:09.000000000,5526
0 days 03:13:26.571428571,0 days 00:00:40.384615384,#70-2,0.9965326034346149,0 days 00:00:15.000000000,6805
0 days 09:05:42.400000000,0 days 00:00:27.000000000,#100,0.9991760605931143,0 days 00:00:14.000000000,6806
0 days 01:24:52.656250000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:10.000000000,6804
0 days 01:23:26.030303030,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:21.000000000,3442
0 days 01:24:41.937500000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,6804
0 days 02:47:00.750000000,0 days 00:00:43.000000000,#70-1,0.9957272388523165,0 days 00:00:16.000000000,6801
0 days 22:09:38.000000000,0 days 00:00:01.000000000,#40,0.9999874653730931,0 days 00:00:16.000000000,6789
0 days 01:20:54.147058823,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:31.000000000,3458
0 days 01:23:07.257142857,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,6889
0 days 00:47:36.339285714,0 days 00:00:22.800000000,#50-2,0.9920809666579414,0 days 00:00:15.000000000,6802
0 days 00:48:00.527272727,0 days 00:00:22.925925925,#50-1,0.9921039106345355,0 days 00:00:18.000000000,6796
0 days 22:17:31.500000000,0 days 00:00:20.000000000,#60,0.9997508455678541,0 days 00:00:13.000000000,6803
0 days 01:19:48.303030303,0 days 00:00:19.156250000,#20-1,0.9960153068631311,0 days 00:00:16.000000000,6770
