average_uptime,average_downtime,machine,e,ct,product
0 days 00:17:06.142857142,0 days 00:00:02.000000000,#20-2,0.9980547450326509,0 days 00:00:16.000000000,320
0 days 00:17:02.714285714,0 days 00:00:02.000000000,#20-1,0.9980482364422133,0 days 00:00:13.000000000,320
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:15.000000000,314
0 days 00:39:48.000000000,0 days 00:00:19.000000000,#70-2,0.9921063564603241,0 days 00:00:17.000000000,311
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,311
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:15.000000000,315
0 days 00:39:48.000000000,0 days 00:00:19.000000000,#70-1,0.9921063564603241,0 days 00:00:17.000000000,311
0 days 00:09:51.000000000,0 days 00:00:10.000000000,#30,0.9833610648918469,0 days 00:00:17.000000000,319
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:17.000000000,312
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:13.000000000,317
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:09.000000000,260
0 days 01:59:12.000000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:15.000000000,318
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:14.000000000,311
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:15.000000000,312
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:16.000000000,156
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,311
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,312
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,313
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:40.000000000,156
0 days 02:00:02.000000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,311
