average_uptime,average_downtime,machine,e,ct,product
0 days 01:21:05.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:18.000000000,399
0 days 01:21:14.000000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:14.000000000,397
0 days 00:11:33.642857142,0 days 00:00:06.769230769,#20-2,0.9903353598747997,0 days 00:00:16.000000000,402
0 days 01:20:45.500000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:29.000000000,400
0 days 00:24:41.625000000,0 days 00:00:13.714285714,#30,0.9908286461507285,0 days 00:00:18.000000000,401
0 days 01:20:58.500000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:14.000000000,398
0 days 03:19:09.000000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:09.000000000,304
0 days 00:49:11.500000000,0 days 00:00:47.666666666,#70-2,0.9841066963047478,0 days 00:00:16.000000000,397
0 days 01:21:15.500000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:15.000000000,397
0 days 01:21:14.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,397
0 days 03:19:09.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:40.000000000,200
0 days 01:21:17.500000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:17.000000000,397
0 days 00:40:03.250000000,0 days 00:00:47.666666666,#70-1,0.9805514943391195,0 days 00:00:17.000000000,397
0 days 01:39:34.000000000,0 days 00:00:01.000000000,#40,0.9998326359832636,0 days 00:00:17.000000000,399
0 days 03:19:09.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:31.000000000,200
0 days 01:20:29.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,400
0 days 03:19:09.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:15.000000000,395
0 days 03:19:09.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:08.000000000,396
0 days 03:19:09.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:16.000000000,395
0 days 00:11:31.785714285,0 days 00:00:06.846153846,#20-1,0.9902006276004629,0 days 00:00:16.000000000,401
