average_uptime,average_downtime,machine,e,ct,product
0 days 00:29:40.236842105,0 days 00:00:21.108108108,#20-2,0.9882820288776427,0 days 00:00:13.000000000,2472
0 days 00:29:37.500000000,0 days 00:00:21.108108108,#20-1,0.988264198291531,0 days 00:00:19.000000000,2472
0 days 01:14:35.687500000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,2474
0 days 03:19:46.500000000,0 days 00:00:21.200000000,#70-2,0.9982344662175104,0 days 00:00:15.000000000,2477
0 days 00:53:38.476190476,0 days 00:01:18.450000000,#100,0.9762051087990314,0 days 00:00:14.000000000,2469
0 days 01:14:34.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:21.000000000,2474
0 days 03:17:19.833333333,0 days 00:00:21.800000000,#70-1,0.9981621418073395,0 days 00:00:15.000000000,2476
0 days 00:28:51.102564102,0 days 00:00:25.078947368,#30,0.9857196154245993,0 days 00:00:17.000000000,2471
0 days 01:04:02.055555555,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:12.000000000,2476
0 days 03:48:27.800000000,0 days 00:00:00.750000000,#40,0.9999452896185227,0 days 00:00:13.000000000,2470
0 days 02:56:49.142857142,0 days 00:00:00.833333333,#170,0.9999214575680435,0 days 00:00:09.000000000,2041
0 days 01:06:46.588235294,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:10.000000000,2467
0 days 01:07:52.823529411,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,2479
0 days 01:09:41.058823529,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,2475
0 days 01:04:03.611111111,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:34.000000000,1245
0 days 06:23:43.000000000,0 days 00:00:23.500000000,#110,0.9989803223916863,0 days 00:00:15.000000000,2469
0 days 09:20:01.000000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:31.000000000,2490
0 days 00:58:30.368421052,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,2493
0 days 01:01:37.777777777,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:31.000000000,1251
0 days 01:03:57.611111111,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,2472
