average_uptime,average_downtime,machine,e,ct,product
0 days 01:06:59.828571428,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:17.000000000,5349
0 days 03:52:11.900000000,0 days 00:00:37.333333333,#110,0.9973274601087866,0 days 00:00:15.000000000,5308
0 days 01:10:12.451612903,0 days 00:00:19.666666666,#20-2,0.9953529969233272,0 days 00:00:13.000000000,5215
0 days 07:49:55.200000000,0 days 00:00:27.750000000,#150,0.9990167576387302,0 days 00:00:31.000000000,5369
0 days 00:40:12.740740740,0 days 00:00:21.169811320,#30,0.9913021407865288,0 days 00:00:16.000000000,5226
0 days 01:00:50.083333333,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:11.000000000,5190
0 days 06:02:55.285714285,0 days 00:00:00.666666666,#170,0.9999693851890225,0 days 00:00:09.000000000,4348
0 days 01:54:47.150000000,0 days 00:00:53.000000000,#70-2,0.9923632774507756,0 days 00:00:16.000000000,5264
0 days 09:44:02.000000000,0 days 00:00:29.333333333,#100,0.9991636094056019,0 days 00:00:14.000000000,5290
0 days 01:06:07.428571428,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:10.000000000,5270
0 days 19:48:38.000000000,0 days 00:00:13.000000000,#120,0.9998177510479315,0 days 00:00:32.000000000,2680
0 days 01:06:12.942857142,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,5277
0 days 01:54:39.900000000,0 days 00:00:51.842105263,#70-1,0.9925210568316386,0 days 00:00:16.000000000,5260
0 days 04:03:52.111111111,0 days 00:00:01.000000000,#40,0.999931661832374,0 days 00:00:13.000000000,5231
0 days 01:07:03.200000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:33.000000000,2700
0 days 19:43:26.500000000,0 days 00:00:28.000000000,#160,0.9996058253383919,0 days 00:00:14.000000000,5371
0 days 01:07:40.205882352,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,5245
0 days 01:04:14.514285714,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:08.000000000,5238
0 days 19:12:08.000000000,0 days 00:00:14.000000000,#60,0.9997975181510514,0 days 00:00:17.000000000,5256
0 days 01:07:53.593750000,0 days 00:00:19.483870967,#20-1,0.9952397992974301,0 days 00:00:16.000000000,5202
