average_uptime,average_downtime,machine,e,ct,product
0 days 00:26:32.166666666,0 days 00:00:15.600000000,#20-2,0.9902970994961915,0 days 00:00:13.000000000,376
0 days 00:26:21.500000000,0 days 00:00:15.600000000,#20-1,0.9902322960365663,0 days 00:00:14.000000000,376
0 days 00:40:40.500000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,373
0 days 00:40:57.000000000,0 days 00:00:15.000000000,#70-2,0.9939320388349514,0 days 00:00:16.000000000,368
0 days 00:41:17.750000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,364
0 days 00:40:31.500000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:15.000000000,374
0 days 00:40:51.750000000,0 days 00:00:15.000000000,#70-1,0.993919124353907,0 days 00:00:17.000000000,369
0 days 00:31:57.200000000,0 days 00:00:26.000000000,#30,0.9866200082338411,0 days 00:00:16.000000000,376
0 days 00:41:22.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:21.000000000,361
0 days 00:40:27.000000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:17.000000000,376
0 days 01:23:15.000000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:09.000000000,278
0 days 00:39:44.500000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:10.000000000,375
0 days 00:41:17.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:10.000000000,367
0 days 00:40:51.750000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:17.000000000,371
0 days 00:41:36.750000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:39.000000000,183
0 days 00:41:17.250000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:17.000000000,363
0 days 00:41:34.250000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:31.000000000,364
0 days 00:41:38.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:16.000000000,364
0 days 00:41:31.250000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:39.000000000,184
0 days 00:41:18.750000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,365
