start,stop,time
2019-05-24 00:42:35,2019-05-24 03:29:25,0 days 02:46:50.000000000
2019-05-24 04:04:20,2019-05-24 07:37:40,0 days 03:33:20.000000000
2019-05-24 08:33:03,2019-05-24 10:58:34,0 days 02:25:31.000000000
2019-05-24 11:37:32,2019-05-24 11:59:02,0 days 00:21:30.000000000
2019-05-24 12:09:06,2019-05-24 15:09:24,0 days 03:00:18.000000000
2019-05-24 15:19:25,2019-05-24 17:36:12,0 days 02:16:47.000000000
2019-05-24 17:59:41,2019-05-24 19:45:44,0 days 01:46:03.000000000
2019-05-24 20:34:05,2019-05-24 23:14:04,0 days 02:39:59.000000000
2019-05-24 23:24:12,2019-05-24 23:43:55,0 days 00:19:43.000000000
2019-05-24 23:54:11,2019-05-25 01:07:00,0 days 01:12:49.000000000
