start,stop,time
2019-05-22 01:27:03,2019-05-22 02:04:24,0 days 00:37:21.000000000
2019-05-22 02:14:25,2019-05-22 05:08:51,0 days 02:54:26.000000000
2019-05-22 05:23:21,2019-05-22 06:00:46,0 days 00:37:25.000000000
2019-05-22 06:18:09,2019-05-22 07:26:55,0 days 01:08:46.000000000
2019-05-22 08:22:45,2019-05-22 08:24:56,0 days 00:02:11.000000000
2019-05-22 08:34:57,2019-05-22 08:53:49,0 days 00:18:52.000000000
2019-05-22 09:04:12,2019-05-22 09:40:55,0 days 00:36:43.000000000
2019-05-22 09:51:15,2019-05-22 10:07:25,0 days 00:16:10.000000000
2019-05-22 10:17:30,2019-05-22 16:54:23,0 days 06:36:53.000000000
2019-05-22 20:32:40,2019-05-23 00:01:23,0 days 03:28:43.000000000
