start,stop,time
2019-06-26 00:38:18,2019-06-26 04:01:03,0 days 03:22:45.000000000
2019-06-26 04:13:10,2019-06-26 05:04:58,0 days 00:51:48.000000000
2019-06-26 05:15:13,2019-06-26 06:11:50,0 days 00:56:37.000000000
2019-06-26 06:32:32,2019-06-26 07:45:41,0 days 01:13:09.000000000
2019-06-26 08:29:12,2019-06-26 09:35:36,0 days 01:06:24.000000000
2019-06-26 09:46:10,2019-06-26 12:20:44,0 days 02:34:34.000000000
2019-06-26 12:57:47,2019-06-26 14:59:10,0 days 02:01:23.000000000
2019-06-26 15:20:43,2019-06-26 15:50:38,0 days 00:29:55.000000000
2019-06-26 16:07:37,2019-06-26 16:35:41,0 days 00:28:04.000000000
2019-06-26 20:30:38,2019-06-26 21:23:32,0 days 00:52:54.000000000
2019-06-26 21:35:14,2019-06-26 23:59:31,0 days 02:24:17.000000000
