start,stop,time
2019-06-15 02:55:39,2019-06-15 03:25:25,0 days 00:29:46.000000000
2019-06-15 04:05:43,2019-06-15 06:23:11,0 days 02:17:28.000000000
2019-06-15 06:33:12,2019-06-15 06:57:58,0 days 00:24:46.000000000
2019-06-15 07:09:14,2019-06-15 07:44:07,0 days 00:34:53.000000000
2019-06-18 00:39:45,2019-06-18 02:13:49,0 days 01:34:04.000000000
2019-06-18 02:24:30,2019-06-18 04:14:36,0 days 01:50:06.000000000
2019-06-18 04:25:16,2019-06-18 04:54:22,0 days 00:29:06.000000000
2019-06-18 05:05:32,2019-06-18 06:00:50,0 days 00:55:18.000000000
2019-06-18 06:13:23,2019-06-18 07:44:27,0 days 01:31:04.000000000
2019-06-18 09:24:20,2019-06-18 13:06:20,0 days 03:42:00.000000000
2019-06-18 13:35:53,2019-06-18 17:27:46,0 days 03:51:53.000000000
2019-06-18 18:00:00,2019-06-18 18:07:02,0 days 00:07:02.000000000
2019-06-18 18:17:03,2019-06-18 19:54:13,0 days 01:37:10.000000000
2019-06-18 20:35:12,2019-06-18 23:56:14,0 days 03:21:02.000000000
2019-06-19 00:30:50,2019-06-19 01:12:44,0 days 00:41:54.000000000
2019-06-19 01:22:50,2019-06-19 07:43:05,0 days 06:20:15.000000000
2019-06-19 08:24:18,2019-06-19 08:45:31,0 days 00:21:13.000000000
2019-06-19 08:57:42,2019-06-19 12:12:55,0 days 03:15:13.000000000
2019-06-19 13:06:09,2019-06-19 16:29:31,0 days 03:23:22.000000000
2019-06-19 20:40:55,2019-06-19 21:07:40,0 days 00:26:45.000000000
2019-06-19 21:17:43,2019-06-20 00:29:56,0 days 03:12:13.000000000
2019-06-20 00:41:19,2019-06-20 02:45:24,0 days 02:04:05.000000000
2019-06-20 02:55:28,2019-06-20 07:43:14,0 days 04:47:46.000000000
2019-06-20 08:24:02,2019-06-20 10:34:55,0 days 02:10:53.000000000
2019-06-20 10:55:34,2019-06-20 12:01:18,0 days 01:05:44.000000000
2019-06-20 12:11:23,2019-06-20 12:57:13,0 days 00:45:50.000000000
2019-06-20 13:07:23,2019-06-20 15:03:36,0 days 01:56:13.000000000
2019-06-20 15:13:37,2019-06-20 15:56:34,0 days 00:42:57.000000000
2019-06-20 16:06:55,2019-06-20 16:50:53,0 days 00:43:58.000000000
2019-06-20 20:31:29,2019-06-21 02:20:04,0 days 05:48:35.000000000
2019-06-21 02:30:10,2019-06-21 03:27:03,0 days 00:56:53.000000000
2019-06-21 04:08:33,2019-06-21 04:45:19,0 days 00:36:46.000000000
2019-06-21 04:55:26,2019-06-21 07:47:01,0 days 02:51:35.000000000
2019-06-21 08:32:08,2019-06-21 14:01:34,0 days 05:29:26.000000000
2019-06-21 14:11:45,2019-06-21 14:57:58,0 days 00:46:13.000000000
2019-06-21 15:21:48,2019-06-21 15:47:34,0 days 00:25:46.000000000
2019-06-21 15:57:35,2019-06-21 16:01:19,0 days 00:03:44.000000000
2019-06-21 16:11:20,2019-06-21 16:52:43,0 days 00:41:23.000000000
2019-06-21 20:32:34,2019-06-21 20:43:19,0 days 00:10:45.000000000
2019-06-21 20:53:27,2019-06-21 21:22:10,0 days 00:28:43.000000000
2019-06-21 21:32:11,2019-06-21 22:25:17,0 days 00:53:06.000000000
2019-06-21 22:35:30,2019-06-21 22:49:03,0 days 00:13:33.000000000
2019-06-21 22:59:04,2019-06-22 05:17:11,0 days 06:18:07.000000000
2019-06-22 05:27:12,2019-06-22 07:36:35,0 days 02:09:23.000000000
