start,stop,time
2019-06-27 00:29:26,2019-06-27 02:19:22,0 days 01:49:56.000000000
2019-06-27 02:29:32,2019-06-27 06:10:29,0 days 03:40:57.000000000
2019-06-27 06:20:30,2019-06-27 06:31:22,0 days 00:10:52.000000000
2019-06-27 06:41:29,2019-06-27 07:44:12,0 days 01:02:43.000000000
2019-06-27 08:25:52,2019-06-27 08:39:02,0 days 00:13:10.000000000
2019-06-27 08:52:09,2019-06-27 10:23:16,0 days 01:31:07.000000000
2019-06-27 10:34:16,2019-06-27 12:19:05,0 days 01:44:49.000000000
2019-06-27 12:57:25,2019-06-27 15:00:35,0 days 02:03:10.000000000
2019-06-27 15:10:36,2019-06-27 15:45:44,0 days 00:35:08.000000000
2019-06-27 15:55:57,2019-06-27 16:39:30,0 days 00:43:33.000000000
2019-06-27 20:30:42,2019-06-28 01:28:29,0 days 04:57:47.000000000
