start,stop,time
2019-05-30 04:10:07,2019-05-30 04:53:18,0 days 00:43:11.000000000
2019-05-30 05:03:19,2019-05-30 05:42:40,0 days 00:39:21.000000000
2019-05-30 05:53:02,2019-05-30 07:43:27,0 days 01:50:25.000000000
2019-05-30 08:30:19,2019-05-30 09:04:00,0 days 00:33:41.000000000
2019-05-30 09:14:06,2019-05-30 09:54:25,0 days 00:40:19.000000000
2019-05-30 10:04:57,2019-05-30 12:20:27,0 days 02:15:30.000000000
2019-05-30 12:55:59,2019-05-30 13:51:13,0 days 00:55:14.000000000
2019-05-30 14:03:27,2019-05-30 14:29:59,0 days 00:26:32.000000000
2019-05-30 14:40:03,2019-05-30 15:00:29,0 days 00:20:26.000000000
2019-05-30 15:10:59,2019-05-30 17:40:15,0 days 02:29:16.000000000
2019-05-30 18:01:12,2019-05-30 19:55:46,0 days 01:54:34.000000000
