start,stop,time
2019-06-28 01:38:36,2019-06-28 04:02:49,0 days 02:24:13.000000000
2019-06-28 04:12:50,2019-06-28 06:33:21,0 days 02:20:31.000000000
2019-06-28 06:43:22,2019-06-28 07:41:23,0 days 00:58:01.000000000
2019-06-28 08:35:31,2019-06-28 09:16:04,0 days 00:40:33.000000000
2019-06-28 09:26:05,2019-06-28 12:20:59,0 days 02:54:54.000000000
2019-06-28 12:57:18,2019-06-28 15:10:21,0 days 02:13:03.000000000
2019-06-28 15:20:22,2019-06-28 15:50:38,0 days 00:30:16.000000000
2019-06-28 16:00:42,2019-06-28 16:34:55,0 days 00:34:13.000000000
2019-06-28 16:45:00,2019-06-28 16:51:17,0 days 00:06:17.000000000
2019-06-28 20:34:57,2019-06-29 02:23:18,0 days 05:48:21.000000000
