average_uptime,average_downtime,machine,e,ct,product
0 days 00:10:31.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:18.000000000,21
0 days 00:10:21.000000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:16.000000000,20
0 days 00:07:51.000000000,0 days 00:00:00.000000000,#20-2,1.0,0 days 00:00:17.000000000,11
0 days 00:10:31.000000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:31.000000000,22
0 days 00:08:01.000000000,0 days 00:00:00.000000000,#30,1.0,0 days 00:00:17.000000000,11
0 days 00:07:36.000000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:15.000000000,11
0 days 00:06:38.000000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:12.000000000,13
0 days 00:08:58.000000000,0 days 00:00:00.000000000,#70-2,1.0,0 days 00:00:16.000000000,12
0 days 00:09:58.000000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,17
0 days 00:09:13.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,13
0 days 00:10:31.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:26.000000000,10
0 days 00:09:34.000000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:17.000000000,14
0 days 00:08:52.000000000,0 days 00:00:00.000000000,#70-1,1.0,0 days 00:00:16.000000000,11
0 days 00:08:09.000000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:17.000000000,11
0 days 00:10:31.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:36.000000000,11
0 days 00:10:31.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:14.000000000,21
0 days 00:08:28.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:14.000000000,11
0 days 00:08:20.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:14.000000000,11
0 days 00:08:37.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:07.000000000,11
0 days 00:07:45.000000000,0 days 00:00:00.000000000,#20-1,1.0,0 days 00:00:17.000000000,11
