average_uptime,average_downtime,machine,e,ct,product
0 days 01:57:14.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:18.000000000,320
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,318
0 days 00:38:47.333333333,0 days 00:00:22.000000000,#20-2,0.9906356413166842,0 days 00:00:12.000000000,306
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,321
0 days 00:58:14.500000000,0 days 00:00:37.000000000,#30,0.989522865637831,0 days 00:00:17.000000000,308
0 days 01:57:20.000000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,303
0 days 02:15:37.000000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:11.000000000,244
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#70-2,1.0,0 days 00:00:16.000000000,312
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:15.000000000,316
0 days 01:57:07.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,313
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:27.000000000,159
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:17.000000000,314
0 days 01:57:08.000000000,0 days 00:00:00.000000000,#70-1,1.0,0 days 00:00:16.000000000,312
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:17.000000000,309
0 days 02:03:50.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:34.000000000,161
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:12.000000000,322
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:15.000000000,310
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:08.000000000,310
0 days 01:57:06.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,311
0 days 00:39:00.333333333,0 days 00:00:22.000000000,#20-1,0.9906871736983196,0 days 00:00:15.000000000,305
