average_uptime,average_downtime,machine,e,ct,product
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:33.000000000,53
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:14.000000000,52
0 days 00:21:51.000000000,0 days 00:00:00.000000000,#20-2,1.0,0 days 00:00:12.000000000,48
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:33.000000000,54
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#30,1.0,0 days 00:00:18.000000000,49
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,46
0 days 00:22:05.000000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:10.000000000,48
0 days 00:21:51.000000000,0 days 00:00:00.000000000,#70-2,1.0,0 days 00:00:17.000000000,55
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,53
0 days 00:21:56.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:11.000000000,55
0 days 00:21:56.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:44.000000000,26
0 days 00:21:53.000000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:17.000000000,54
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#70-1,1.0,0 days 00:00:17.000000000,54
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:15.000000000,50
0 days 00:22:26.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:43.000000000,27
0 days 00:21:51.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:11.000000000,55
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,52
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:13.000000000,51
0 days 00:21:51.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:17.000000000,53
0 days 00:21:50.000000000,0 days 00:00:00.000000000,#20-1,1.0,0 days 00:00:16.000000000,47
