average_uptime,average_downtime,machine,e,ct,product
0 days 00:21:00.600000000,0 days 00:00:04.000000000,#20-2,0.9968369444883758,0 days 00:00:16.000000000,278
0 days 00:20:56.800000000,0 days 00:00:04.000000000,#20-1,0.9968274111675127,0 days 00:00:16.000000000,278
0 days 02:13:12.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:16.000000000,286
0 days 00:26:44.400000000,0 days 00:00:20.250000000,#70-2,0.9875357769365709,0 days 00:00:16.000000000,291
0 days 00:58:20.000000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:14.000000000,297
0 days 00:54:30.500000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:16.000000000,285
0 days 00:26:40.600000000,0 days 00:00:20.250000000,#70-1,0.9875065552025172,0 days 00:00:16.000000000,290
0 days 00:14:53.428571428,0 days 00:00:22.500000000,#30,0.9754347656554475,0 days 00:00:17.000000000,281
0 days 00:59:17.500000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:33.000000000,303
0 days 00:53:50.500000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:17.000000000,283
0 days 01:09:48.500000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:10.000000000,254
0 days 01:44:39.000000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:13.000000000,278
0 days 00:57:19.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:16.000000000,292
0 days 02:13:58.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:16.000000000,288
0 days 02:19:39.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:38.000000000,151
0 days 00:58:31.000000000,0 days 00:00:36.000000000,#110,0.9898505779531999,0 days 00:00:15.000000000,300
0 days 00:59:20.000000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:31.000000000,303
0 days 00:58:57.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,303
0 days 00:59:19.500000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:31.000000000,152
0 days 00:57:46.000000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,294
