average_uptime,average_downtime,machine,e,ct,product
0 days 14:25:31.250000000,0 days 00:00:58.666666666,#130,0.9988715760588319,0 days 00:00:09.000000000,8895
0 days 03:49:41.600000000,0 days 00:00:33.714285714,#110,0.99755964395621,0 days 00:00:13.000000000,8877
0 days 00:56:19.900000000,0 days 00:00:15.830508474,#20-2,0.9953381140127301,0 days 00:00:17.000000000,8825
1 days 04:52:25.500000000,0 days 00:00:14.000000000,#150,0.999865332172625,0 days 00:00:32.000000000,8892
0 days 00:23:10.793103448,0 days 00:00:15.458333333,#30,0.989007418638885,0 days 00:00:16.000000000,8830
0 days 01:36:50.685714285,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:13.000000000,8810
0 days 07:39:53.125000000,0 days 00:00:07.428571428,#170,0.9997308542595432,0 days 00:00:09.000000000,7195
0 days 02:35:44.772727272,0 days 00:00:24.380952380,#70-2,0.9973977422920332,0 days 00:00:17.000000000,8860
0 days 01:01:55.945454545,0 days 00:00:40.518518518,#100,0.9892136544344491,0 days 00:00:14.000000000,8869
0 days 01:36:55.828571428,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,8863
0 days 19:27:28.666666666,0 days 00:00:22.000000000,#120,0.9996860312446483,0 days 00:00:33.000000000,4461
0 days 01:40:55.382352941,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,8867
0 days 02:35:18.272727272,0 days 00:00:24.285714285,#70-1,0.997400528512942,0 days 00:00:16.000000000,8855
0 days 02:16:06.720000000,0 days 00:00:00.958333333,#40,0.9998826675961161,0 days 00:00:13.000000000,8839
0 days 01:39:26.942857142,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:36.000000000,4468
0 days 01:33:23.675675675,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:16.000000000,8895
0 days 01:37:56.942857142,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,8845
0 days 01:41:32.617647058,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:17.000000000,8844
0 days 01:37:42.885714285,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:14.000000000,8849
0 days 00:55:22.000000000,0 days 00:00:16.366666666,#20-1,0.9950974029217872,0 days 00:00:15.000000000,8817
