average_uptime,average_downtime,machine,e,ct,product
0 days 00:22:34.416666666,0 days 00:00:16.267605633,#20-2,0.9881317631187853,0 days 00:00:13.000000000,4487
0 days 00:22:51.591549295,0 days 00:00:16.257142857,#20-1,0.9882860841034539,0 days 00:00:16.000000000,4479
0 days 01:19:20.095238095,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,4532
0 days 00:48:18.769230769,0 days 00:00:32.473684210,#70-2,0.9889215308482092,0 days 00:00:16.000000000,4553
0 days 06:22:45.000000000,0 days 00:00:18.750000000,#100,0.9991842062326644,0 days 00:00:14.000000000,4566
0 days 01:19:09.285714285,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:06.000000000,4524
0 days 00:42:29.589743589,0 days 00:00:30.315789473,#70-1,0.9882492637484214,0 days 00:00:16.000000000,4548
0 days 00:57:23.586206896,0 days 00:00:16.500000000,#30,0.9952313326855512,0 days 00:00:17.000000000,4502
0 days 01:31:24.714285714,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:16.000000000,4577
0 days 01:18:52.238095238,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:16.000000000,4514
0 days 11:31:17.000000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:09.000000000,3702
0 days 13:38:34.500000000,0 days 00:00:50.000000000,#10,0.9989830060307743,0 days 00:00:14.000000000,4465
0 days 01:35:20.950000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,4556
0 days 01:19:34.380952380,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,4539
0 days 01:31:17.904761904,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:20.000000000,2298
0 days 03:58:38.125000000,0 days 00:00:25.000000000,#110,0.9982570046625125,0 days 00:00:15.000000000,4573
0 days 15:59:55.000000000,0 days 00:00:13.000000000,#150,0.999774336897653,0 days 00:00:29.000000000,4566
0 days 01:41:53.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:12.000000000,4563
0 days 01:37:50.650000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:33.000000000,2295
0 days 01:35:32.850000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:11.000000000,4561
