[120552, 103725, 100999, 98844, 133948, 109793, 91945, 102868, 122318, 84448, 95810, 76518, 87049, 89580, 77408, 78817, 23032, 0, 0, 0]
[111814, 95798, 92215, 88769, 124439, 101326, 83887, 94251, 112832, 74255, 85686, 67088, 76990, 79878, 67222, 69556, 19713, 19, 0, 0]
[120527, 105223, 103738, 99721, 134104, 110673, 91569, 102414, 121070, 84185, 95162, 75614, 85906, 87843, 75112, 77729, 16266, 0, 0, 0]
[116411, 100723, 98462, 95297, 130339, 107054, 88787, 99070, 117230, 80342, 91302, 73401, 82526, 83321, 70313, 71506, 18338, 22, 41, 0]
[135505, 119780, 117095, 113981, 148387, 125640, 107131, 117388, 135304, 98598, 111309, 92252, 102007, 103808, 89641, 91506, 29603, 0, 0, 0]
[128497, 113473, 109415, 106540, 141424, 118160, 99749, 110025, 128082, 91067, 102666, 83967, 92574, 94018, 82113, 83946, 22789, 0, 0, 0]
[120673, 104388, 101079, 97620, 132390, 109111, 91737, 102189, 120309, 84024, 95563, 76935, 86711, 87966, 74191, 76785, 23024, 0, 0, 0]
[129023, 112626, 110049, 107438, 140730, 117089, 100118, 110245, 129379, 93819, 104841, 84473, 94077, 94107, 80938, 83663, 18716, 32, 41, 0]
[125779, 107284, 103414, 101051, 134866, 112167, 94638, 104835, 123456, 87333, 99199, 81059, 90609, 92250, 77983, 79991, 25167, 150, 442, 0]
[119430, 102463, 99237, 97302, 130452, 107836, 90362, 100628, 118841, 81795, 94483, 76214, 85029, 86568, 73118, 75304, 23406, 0, 0, 0]
[116545, 99833, 96543, 93573, 128653, 105536, 87616, 97943, 118215, 80351, 91437, 72490, 81982, 84199, 73254, 74949, 22271, 0, 0, 0]
[120423, 104063, 100057, 97506, 132013, 109377, 91224, 101732, 119854, 84645, 95011, 77512, 87109, 89976, 75149, 77180, 20801, 0, 27, 0]
[119900, 102614, 99381, 96862, 130316, 107820, 90331, 100935, 119265, 82678, 95142, 76601, 86419, 86839, 75088, 76098, 24314, 0, 0, 0]
[117381, 101522, 98400, 94663, 129854, 107109, 89481, 99413, 116525, 79487, 90138, 73555, 82818, 82832, 71233, 74003, 20956, 0, 0, 0]
[114838, 98782, 95095, 92109, 127082, 104339, 85795, 96324, 115808, 78350, 88382, 70943, 79610, 79533, 66581, 68887, 17854, 0, 0, 0]
[117121, 101040, 98564, 94778, 130561, 107503, 89036, 99467, 118619, 80988, 92555, 73873, 82361, 82838, 68565, 70432, 21957, 49, 33, 0]
[116399, 97931, 94789, 92163, 126361, 103326, 86728, 97413, 115167, 79236, 89359, 71918, 80829, 80220, 68263, 71617, 18325, 30, 27, 0]
[113432, 97123, 93237, 90702, 124781, 102467, 84692, 95080, 111687, 74096, 87307, 67147, 76327, 77013, 64627, 66336, 23320, 0, 0, 0]
[117452, 100101, 96596, 93746, 127506, 104282, 87210, 97240, 114709, 77804, 88382, 71488, 80695, 79510, 68082, 70286, 19660, 19, 1, 0]
[120165, 103231, 100282, 97519, 131978, 108887, 90889, 100988, 117996, 81532, 93386, 74279, 83023, 83912, 72082, 73518, 21881, 47, 28, 0]
[121831, 105958, 102085, 98616, 133970, 111328, 92982, 103238, 123454, 85478, 97307, 77642, 87656, 88174, 75469, 77662, 27685, 53, 31, 0]
[120912, 104835, 101098, 98336, 133647, 110994, 92909, 103730, 123730, 86446, 98746, 77282, 86814, 87605, 76161, 78835, 28716, 13, 52, 0]
[120847, 103734, 101415, 99549, 133354, 110545, 92195, 102343, 119689, 83958, 95407, 77268, 86594, 88610, 77608, 79218, 22792, 0, 0, 0]
[121500, 104330, 101086, 98515, 133142, 109768, 92729, 103036, 120118, 82834, 93619, 75626, 85636, 85791, 74038, 75875, 19231, 0, 0, 0]
[117669, 102021, 99353, 96865, 130750, 107939, 89011, 99252, 118240, 81569, 93686, 75413, 84975, 86685, 71570, 73297, 20062, 0, 0, 0]
[118424, 101604, 97675, 94236, 129617, 106974, 88328, 98629, 116580, 79935, 90648, 73950, 83778, 84345, 72678, 74820, 18164, 19, 0, 0]
[120235, 105504, 101819, 98797, 133928, 110682, 92698, 103037, 121348, 84046, 94080, 74717, 82872, 82764, 71303, 73504, 18647, 48, 41, 0]
[119801, 104373, 100852, 97994, 131405, 107538, 90480, 100831, 119847, 83200, 93796, 74861, 82695, 83554, 71421, 73487, 19472, 0, 12, 0]
[115593, 98409, 96294, 92948, 127288, 103888, 86517, 96794, 115232, 78738, 90142, 70065, 79200, 80797, 69840, 71595, 21436, 0, 0, 0]
[123052, 105398, 101821, 100243, 134150, 111050, 93962, 103962, 119641, 84171, 96907, 77661, 85972, 87607, 75173, 77305, 23756, 0, 71, 0]
[117685, 101473, 98588, 95535, 128534, 105879, 87840, 97981, 116764, 80247, 90805, 72391, 81261, 81453, 70644, 72284, 24504, 0, 0, 0]
[126160, 108952, 106675, 103998, 137915, 116221, 97272, 108102, 125107, 88640, 98975, 81192, 91419, 92128, 80934, 83282, 25373, 34, 190, 0]
[113108, 96096, 93161, 90652, 124775, 101386, 84060, 94612, 113322, 76435, 87998, 71653, 81321, 83471, 66502, 68134, 20528, 10, 0, 0]
[118647, 102267, 99282, 97033, 130734, 108156, 90345, 100600, 118528, 82436, 93173, 74840, 84678, 85725, 73422, 75339, 16712, 30, 21, 0]
[122139, 106343, 103616, 100453, 136156, 113302, 94331, 104804, 124535, 86081, 97606, 78897, 87969, 87713, 77216, 79329, 19040, 0, 0, 0]
[119496, 103516, 100702, 97099, 133033, 108890, 91206, 101708, 121000, 82875, 93647, 74774, 84373, 84747, 73285, 75535, 23978, 0, 0, 0]
[113811, 95849, 92873, 91717, 124722, 102921, 85779, 96165, 114131, 77014, 88591, 71474, 80015, 80431, 65480, 67990, 15437, 52, 39, 0]
[118677, 102551, 98492, 96730, 130732, 107979, 90206, 100450, 118748, 82198, 92318, 74374, 84310, 85573, 70851, 72918, 25718, 0, 0, 0]
[117033, 101806, 98887, 96308, 131014, 106870, 89695, 100592, 119440, 80587, 91521, 74175, 83540, 85733, 74214, 76098, 22600, 0, 12, 0]
[119118, 102732, 99855, 96012, 130269, 107988, 89538, 100336, 119234, 81904, 92300, 74069, 84777, 87416, 74063, 75432, 18050, 0, 0, 0]
[119521, 102194, 96899, 95242, 131352, 109116, 91000, 101915, 120507, 82776, 92740, 76213, 85979, 87521, 75114, 77115, 18178, 0, 0, 0]
[117462, 100756, 99204, 95727, 131183, 107873, 88933, 99150, 118087, 80462, 92364, 74223, 83807, 85226, 70944, 72872, 22534, 0, 0, 0]
[123762, 107292, 103391, 101272, 134649, 112369, 94063, 104458, 122375, 84688, 98192, 79123, 87350, 87906, 74084, 75689, 20171, 30, 24, 0]
[122585, 105619, 102554, 99669, 135270, 111378, 94294, 104432, 124398, 86356, 98355, 81124, 91904, 95031, 78741, 79743, 25138, 0, 0, 0]
[121939, 104616, 101667, 99027, 133129, 111011, 93614, 103621, 122615, 86713, 98274, 78695, 87683, 89908, 74685, 76057, 19242, 1, 0, 0]
[118255, 101902, 98401, 96174, 130873, 108014, 90525, 100983, 120219, 82395, 93341, 73785, 82909, 83127, 73009, 76434, 23232, 0, 0, 0]
[118505, 101380, 98735, 95881, 130446, 106133, 90077, 100122, 118247, 81520, 93058, 74297, 83913, 85492, 73151, 75324, 23600, 0, 0, 0]
[117738, 100303, 98724, 95742, 130037, 107065, 88647, 98810, 116455, 79633, 92056, 72114, 82593, 84059, 70274, 71563, 20051, 6, 0, 0]
[118419, 102381, 99781, 96212, 130917, 106018, 89011, 99292, 117396, 80240, 93850, 74030, 84715, 85248, 71536, 73371, 21673, 37, 139, 0]
[122373, 106008, 102274, 100344, 135020, 112480, 93884, 104286, 122830, 86381, 96860, 77152, 85830, 84581, 74091, 76467, 24392, 13, 2, 0]
