[80740, 62402, 62697, 64087, 86498, 43712, 10117, 15194, 22650, 11627, 17846, 11868, 18596, 20466, 16195, 20845, 8668, 0, 3, 0]
[79673, 62462, 62584, 64540, 87857, 45444, 8550, 12250, 18072, 10104, 16199, 11067, 17177, 19699, 14201, 16277, 8174, 0, 0, 0]
[86311, 68856, 68812, 70360, 92686, 51498, 17384, 22807, 32086, 20997, 27645, 20236, 28425, 32060, 25523, 26057, 13400, 0, 0, 0]
[83384, 66437, 63279, 65458, 88043, 44731, 11579, 14722, 21204, 12974, 18795, 13501, 20414, 25188, 23041, 25172, 10204, 0, 0, 0]
[81585, 65625, 64896, 66017, 88100, 44035, 11047, 15892, 25461, 15076, 22901, 16490, 24216, 27616, 22327, 24203, 11721, 1, 0, 0]
[80246, 64045, 62891, 64718, 86144, 41821, 7571, 12188, 18624, 11059, 16965, 12312, 19631, 22197, 16328, 18228, 10870, 0, 0, 0]
[83812, 67930, 66309, 67345, 89745, 46177, 12792, 16709, 24095, 14991, 21646, 15716, 21935, 23408, 20975, 24438, 8725, 23, 4, 0]
[84188, 67868, 66314, 68160, 91048, 46550, 12006, 16239, 20171, 12909, 18697, 12770, 19872, 22051, 19747, 23110, 12144, 232, 323, 0]
[81580, 63977, 62737, 64748, 88193, 47029, 9030, 12826, 19549, 12035, 16914, 13033, 18483, 21180, 17105, 20926, 10770, 0, 0, 0]
[82948, 64517, 64108, 65848, 89033, 47315, 11900, 16123, 24944, 15822, 22794, 16222, 24499, 29538, 25929, 28045, 11882, 98, 196, 0]
