[127900, 111073, 108634, 139486, 127365, 120293, 93222, 105936, 128692, 93247, 104584, 85603, 101794, 104303, 94423, 104941, 48300, 0, 0, 0]
[126133, 110404, 108398, 140368, 126552, 118074, 92090, 104614, 128725, 92357, 104150, 85218, 99191, 103898, 93072, 102899, 38569, 0, 7, 0]
[118249, 101420, 99269, 130729, 118536, 111314, 82999, 93405, 115653, 82935, 92991, 76268, 88648, 90976, 82613, 92364, 33421, 0, 0, 0]
[127866, 111030, 109285, 138294, 129569, 119527, 94247, 106637, 130815, 94666, 106557, 87783, 103964, 105481, 96893, 104709, 44637, 70, 373, 0]
[114512, 99589, 97766, 128767, 115428, 108153, 78887, 91394, 113973, 79175, 90349, 70272, 83500, 85587, 76179, 86826, 40679, 0, 0, 0]
[121461, 104041, 103553, 134189, 122597, 114327, 85704, 97659, 121023, 86515, 98032, 80313, 92019, 93432, 84784, 94307, 35575, 0, 110, 0]
[122553, 105491, 105171, 134159, 122035, 113964, 87481, 99640, 124592, 88897, 97908, 80464, 93142, 94825, 84398, 94742, 41513, 0, 9, 0]
[122032, 105426, 103444, 133446, 122033, 113719, 86256, 99278, 122341, 86432, 98024, 80177, 92995, 95410, 83232, 93460, 42542, 56, 223, 0]
[126266, 109245, 108364, 139131, 126885, 117652, 90873, 101640, 125173, 93428, 103274, 85617, 99502, 101378, 91849, 100886, 41586, 0, 68, 0]
[128458, 112109, 109897, 139715, 128356, 119812, 93794, 105806, 128716, 94821, 103481, 85298, 98414, 101569, 92648, 101683, 40210, 0, 62, 0]
[122043, 105221, 103540, 133948, 122392, 114353, 87042, 98371, 121312, 86593, 97756, 80212, 94174, 96322, 87175, 95773, 45231, 0, 0, 0]
[118714, 103255, 100840, 128717, 118262, 109593, 82424, 93602, 118553, 82308, 93015, 76144, 89335, 91494, 79744, 89241, 34056, 0, 0, 0]
[111522, 96002, 93839, 125278, 111889, 102677, 77116, 88040, 109647, 76261, 86992, 70050, 83561, 86878, 76163, 84015, 30718, 0, 0, 0]
[124782, 109092, 107279, 137906, 124760, 115731, 88282, 100730, 125903, 90341, 99890, 82647, 94468, 97549, 87661, 96840, 40880, 0, 0, 0]
[125199, 110452, 107686, 138123, 125571, 117710, 87729, 97784, 117411, 88202, 100478, 82857, 93811, 95457, 83270, 95172, 42874, 0, 41, 0]
[116697, 100032, 97602, 127011, 116280, 107670, 82262, 92855, 116069, 80890, 91781, 75443, 87769, 88981, 81165, 90324, 45048, 0, 0, 0]
[121265, 104770, 103929, 134139, 121671, 114748, 86548, 97281, 119199, 86362, 97571, 79709, 93817, 96297, 88053, 98076, 45162, 0, 0, 0]
[130195, 113713, 111816, 141693, 130811, 121241, 95711, 107740, 132067, 95199, 107276, 86917, 100167, 102515, 92828, 101672, 45726, 6, 68, 0]
