[1, 8166, 3910, 38, 542, 91, 419, 100, 3524, 9001, 6763, 16867, 5, 4014, 8945, 625, 21641, 17498, 4, 172]
[0, 7599, 4302, 112, 306, 184, 164, 110, 2478, 8803, 6304, 15737, 8, 3998, 9555, 387, 18342, 17967, 0, 91]
[0, 7764, 4574, 141, 726, 72, 254, 74, 3282, 7666, 6997, 18058, 5, 5166, 9651, 265, 20596, 22112, 0, 110]
[1, 6885, 6793, 40, 593, 91, 154, 116, 3520, 8765, 6677, 16917, 10, 3900, 6505, 513, 24220, 18530, 0, 159]
[0, 6560, 5456, 20, 501, 132, 133, 57, 2429, 9175, 6048, 16496, 4, 4718, 9339, 357, 20695, 20572, 0, 495]
[0, 6425, 5038, 61, 693, 89, 176, 16, 2571, 8011, 6562, 17921, 4, 5231, 9229, 359, 16780, 19589, 6, 218]
[0, 6441, 5587, 75, 477, 128, 139, 92, 2467, 8891, 7882, 17354, 15, 5655, 7863, 925, 25101, 18157, 0, 246]
[0, 6404, 5742, 79, 122, 48, 232, 159, 3847, 7615, 6136, 17447, 6, 5118, 8208, 385, 20752, 21485, 3, 379]
[1, 7947, 5028, 87, 199, 1, 190, 143, 2193, 7908, 6866, 16780, 6, 4123, 9179, 354, 20166, 20626, 0, 67]
[1, 7896, 4665, 150, 1007, 110, 284, 103, 2818, 7463, 5865, 17487, 5, 3243, 7082, 678, 23327, 21361, 0, 296]
