[0, 7752, 5391, 259, 114, 37, 556, 3, 1863, 9368, 7473, 17728, 5, 5893, 13113, 396, 59139, 49575, 5, 664]
[0, 7071, 5612, 27, 266, 40, 466, 8, 2062, 10647, 7431, 17384, 5, 5935, 14569, 497, 52962, 50366, 6, 1013]
[0, 6307, 3810, 70, 535, 238, 675, 117, 2461, 9522, 8720, 18067, 6, 5322, 14465, 527, 65012, 48195, 4, 553]
[0, 6783, 4615, 28, 908, 31, 443, 65, 2037, 8633, 7353, 16289, 8, 5383, 14202, 177, 57428, 50493, 4, 446]
[7, 6704, 5093, 128, 197, 68, 564, 85, 2253, 9426, 7202, 16576, 7, 5869, 15969, 188, 64708, 71972, 0, 547]
[1, 5944, 6263, 25, 722, 21, 376, 65, 2191, 9156, 7203, 16901, 2, 5157, 13633, 250, 65785, 59157, 0, 711]
[0, 7469, 5664, 118, 429, 73, 761, 75, 1954, 9072, 6761, 16443, 17, 6088, 14423, 407, 57823, 53983, 3, 693]
[1, 7493, 4783, 113, 1136, 90, 368, 158, 1430, 8015, 7732, 17614, 5, 6475, 15277, 251, 69498, 50828, 0, 518]
[1, 9377, 6080, 31, 561, 38, 561, 0, 1764, 8461, 6668, 16237, 4, 5185, 15133, 563, 58375, 62134, 0, 662]
[0, 7684, 5608, 115, 265, 8, 413, 29, 1804, 9530, 6698, 16927, 3, 5211, 15104, 446, 55196, 56362, 0, 585]
[0, 7777, 5553, 152, 669, 112, 525, 143, 1891, 9038, 7958, 17023, 9, 5953, 13337, 554, 56085, 57912, 19, 715]
[1, 7332, 6254, 103, 236, 31, 835, 95, 1605, 8490, 7926, 16036, 8, 5777, 17363, 246, 59922, 55837, 0, 783]
[0, 8200, 5297, 106, 621, 172, 529, 114, 2074, 9540, 6931, 15678, 10, 5641, 14158, 722, 56299, 55269, 5, 244]
[0, 6936, 5447, 162, 502, 0, 233, 119, 2367, 10005, 8128, 16780, 8, 5826, 13657, 407, 57240, 56436, 0, 696]
[0, 6547, 5992, 68, 944, 61, 799, 36, 1708, 9307, 8824, 16638, 4, 5861, 14564, 538, 55936, 48391, 0, 611]
[0, 6989, 5040, 99, 330, 18, 784, 46, 2502, 8894, 7492, 16242, 7, 5333, 15193, 311, 52628, 54049, 5, 351]
[0, 9404, 5486, 125, 329, 33, 475, 21, 2733, 8502, 8046, 16504, 12, 5844, 14618, 367, 57829, 51408, 9, 490]
[0, 7392, 5702, 126, 324, 36, 391, 10, 2981, 10570, 6001, 18264, 11, 5685, 15369, 543, 47728, 51886, 0, 332]
[0, 8282, 5722, 148, 787, 15, 253, 204, 2548, 9810, 7961, 16158, 7, 6303, 13729, 465, 56678, 50439, 1, 417]
[0, 7757, 5191, 144, 546, 31, 491, 135, 2704, 9730, 7262, 17227, 7, 5610, 13548, 552, 56861, 50904, 0, 630]
[0, 6886, 6087, 57, 338, 11, 402, 176, 1607, 9649, 6998, 17763, 4, 5846, 15550, 575, 53146, 56986, 5, 613]
[0, 7058, 5932, 116, 251, 160, 640, 0, 1630, 8900, 6604, 18230, 13, 5433, 13251, 577, 55171, 62110, 0, 805]
[0, 8228, 4594, 231, 611, 55, 302, 52, 2499, 8728, 7907, 16535, 5, 6072, 13296, 656, 59551, 56025, 0, 623]
[0, 8167, 5709, 256, 362, 6, 438, 60, 3326, 9351, 8305, 16975, 6, 6475, 13414, 502, 60612, 55373, 0, 363]
[2, 6840, 5030, 67, 363, 20, 864, 72, 1822, 9109, 6788, 16133, 11, 4307, 15320, 937, 57783, 54556, 0, 268]
[1, 7851, 6413, 65, 398, 2, 798, 40, 2395, 9598, 8220, 15312, 3, 5989, 14433, 429, 60008, 55240, 0, 437]
[2, 5770, 5930, 127, 75, 23, 430, 49, 2804, 9414, 8738, 17430, 4, 5979, 13149, 622, 59808, 52059, 10, 810]
[4, 6512, 5618, 158, 589, 32, 450, 159, 1441, 8899, 7907, 17186, 2, 5304, 14213, 401, 58989, 50350, 0, 431]
[0, 8047, 4660, 71, 857, 19, 683, 41, 2456, 8857, 7578, 17638, 11, 5870, 13794, 344, 54109, 56737, 0, 534]
[0, 8718, 6167, 80, 297, 32, 229, 66, 3327, 8917, 6486, 17085, 5, 5321, 14743, 609, 58114, 55148, 0, 769]
[0, 7124, 5333, 62, 1365, 11, 512, 0, 1296, 9115, 7989, 17451, 11, 5756, 12718, 399, 52434, 50982, 0, 263]
[0, 8196, 5189, 253, 893, 0, 892, 54, 3611, 9219, 7596, 16189, 8, 5811, 13179, 502, 61284, 59014, 2, 379]
[1, 8093, 4990, 153, 546, 94, 373, 17, 1661, 9011, 7129, 15223, 9, 6154, 17483, 299, 50998, 50778, 0, 589]
[2, 7424, 5123, 85, 455, 73, 442, 74, 2309, 9059, 7575, 17011, 6, 5354, 15002, 394, 61127, 45922, 20, 270]
[0, 6878, 5340, 184, 258, 72, 328, 142, 2065, 9799, 6983, 16690, 5, 6172, 14594, 516, 64002, 47753, 0, 340]
