[2, 7100, 7618, 76, 303, 7, 470, 104, 2510, 9576, 7906, 15536, 13, 5730, 15249, 664, 56436, 55871, 0, 582]
[0, 7134, 4393, 77, 663, 0, 441, 13, 1876, 9740, 7797, 16037, 5, 5721, 13913, 297, 52574, 50952, 0, 528]
[0, 6308, 5301, 33, 1015, 45, 523, 81, 2718, 10052, 7417, 17209, 10, 5584, 13318, 419, 42949, 55325, 0, 382]
[0, 7113, 4835, 17, 910, 112, 662, 133, 2504, 10251, 7006, 17268, 11, 5012, 17712, 252, 67025, 54781, 11, 325]
[2, 8252, 6529, 109, 739, 6, 871, 17, 1753, 9182, 7507, 18116, 5, 5864, 15427, 362, 50258, 55824, 4, 530]
[0, 7319, 6084, 136, 545, 29, 520, 127, 1686, 9267, 7461, 17120, 6, 6011, 16667, 429, 56032, 63298, 0, 306]
[0, 8049, 6543, 116, 756, 31, 333, 51, 2096, 9898, 7866, 17114, 5, 5278, 15161, 358, 54764, 51894, 0, 441]
[0, 6514, 5438, 88, 369, 63, 715, 0, 2569, 9512, 8283, 17599, 2, 5924, 13549, 513, 60807, 54294, 0, 533]
[0, 7019, 5680, 61, 218, 99, 351, 52, 1717, 9266, 6805, 16213, 5, 5011, 14318, 590, 57458, 50601, 4, 446]
[0, 6540, 5310, 59, 647, 15, 164, 167, 1463, 8174, 6817, 17884, 11, 5831, 14521, 648, 41293, 44971, 0, 222]
[0, 7771, 5637, 103, 676, 15, 221, 30, 1611, 8323, 7215, 17043, 6, 5130, 15082, 650, 56652, 53607, 0, 531]
[0, 6885, 4555, 17, 511, 50, 302, 48, 2099, 8737, 7560, 18038, 4, 5482, 16507, 386, 55224, 50697, 0, 579]
[1, 7220, 5262, 0, 444, 100, 292, 88, 1832, 9552, 7080, 16827, 11, 5271, 14009, 163, 52638, 50397, 0, 526]
[0, 7981, 5590, 111, 372, 72, 423, 13, 2835, 9565, 8091, 17310, 6, 5566, 16113, 222, 66076, 51002, 0, 724]
[0, 9157, 6009, 24, 722, 10, 615, 26, 2441, 8423, 7090, 17744, 2, 6390, 13643, 221, 51796, 54429, 0, 175]
[1, 8393, 4887, 80, 530, 63, 719, 51, 1258, 8175, 7480, 15932, 7, 5888, 14457, 315, 59479, 53973, 0, 531]
[0, 7311, 5902, 37, 538, 39, 722, 56, 1798, 8855, 7683, 19019, 5, 5332, 13788, 349, 55528, 44177, 0, 374]
[1, 7945, 5487, 95, 749, 55, 549, 429, 2427, 8548, 8383, 17845, 4, 5671, 16808, 466, 47862, 49431, 0, 165]
[0, 9087, 4400, 41, 963, 79, 395, 30, 2504, 8455, 6615, 17427, 9, 6059, 13704, 483, 57309, 56739, 24, 342]
[0, 7780, 5075, 3, 589, 61, 521, 1, 1891, 9926, 7198, 16588, 0, 5526, 13445, 494, 57623, 54590, 0, 564]
[2, 7288, 4961, 79, 955, 2, 555, 100, 2585, 9539, 6426, 15751, 8, 5230, 15186, 508, 54790, 49544, 0, 570]
[0, 7741, 5985, 133, 625, 135, 670, 35, 2425, 8816, 7365, 18848, 9, 6080, 15940, 203, 61373, 54116, 0, 600]
[0, 7918, 4883, 44, 1119, 153, 498, 12, 2495, 8179, 6758, 16731, 8, 6202, 14565, 757, 49513, 52774, 0, 314]
[0, 7848, 5361, 35, 336, 0, 519, 230, 2238, 9017, 7389, 15726, 4, 4654, 13851, 514, 55829, 53056, 0, 510]
[5, 7980, 5714, 26, 778, 2, 738, 75, 2354, 8806, 7578, 17582, 13, 5828, 13803, 524, 49262, 52889, 7, 591]
[0, 7448, 4989, 13, 576, 203, 564, 98, 2171, 9434, 7211, 17881, 16, 6175, 12646, 571, 53648, 60055, 0, 844]
[0, 7353, 5349, 107, 579, 40, 217, 43, 1936, 9970, 6782, 16274, 10, 5159, 14061, 307, 59640, 46882, 13, 753]
[0, 8785, 5439, 4, 435, 160, 247, 150, 1303, 9347, 6175, 15338, 6, 5142, 16563, 253, 55221, 49144, 0, 812]
[0, 8814, 5152, 64, 852, 105, 434, 12, 2920, 9329, 8626, 17255, 14, 5949, 12568, 322, 56744, 60187, 7, 465]
[1, 6184, 5322, 9, 1738, 204, 799, 0, 2314, 8888, 7435, 16743, 6, 5307, 13883, 473, 60708, 50343, 9, 509]
[0, 7844, 5762, 33, 504, 97, 434, 242, 2066, 9616, 6696, 17037, 4, 5548, 14650, 822, 49374, 51968, 2, 266]
[0, 7600, 5201, 71, 972, 184, 524, 78, 2662, 8940, 7605, 15898, 3, 5958, 14777, 571, 57228, 50513, 0, 731]
[2, 8631, 6268, 26, 414, 68, 420, 19, 2062, 9023, 6701, 16431, 13, 5315, 16178, 389, 61566, 49521, 2, 369]
[0, 6323, 5649, 42, 1090, 26, 444, 77, 1627, 9221, 7114, 16477, 12, 5269, 15282, 251, 51276, 52812, 0, 338]
[0, 7478, 5014, 114, 1050, 32, 493, 86, 2474, 8978, 7482, 17826, 6, 6197, 15509, 279, 63513, 52478, 4, 665]
[0, 7510, 5531, 149, 739, 15, 432, 3, 3015, 8641, 7764, 17608, 7, 5702, 13347, 379, 55870, 48856, 0, 238]
