[0, 7693, 4958, 0, 1110, 96, 136, 8, 2615, 8756, 7732, 17965, 8, 5865, 15523, 272, 55290, 52685, 0, 355]
[9, 6404, 5554, 0, 1208, 86, 186, 62, 2713, 10228, 7629, 16594, 8, 6120, 14962, 244, 54136, 56371, 1, 665]
[0, 8052, 5802, 0, 966, 259, 156, 87, 2829, 9728, 7459, 16463, 8, 5354, 15634, 238, 63772, 57465, 2, 345]
[0, 6673, 5476, 0, 888, 335, 213, 244, 1920, 9081, 6518, 15929, 9, 6382, 12012, 562, 53588, 58472, 0, 655]
[0, 7410, 4763, 0, 404, 206, 205, 127, 1587, 9597, 7170, 16197, 9, 5665, 15382, 242, 48440, 54399, 10, 764]
[1, 8974, 5421, 0, 1188, 39, 139, 1, 1919, 9867, 7271, 17862, 9, 5639, 14990, 561, 58533, 55127, 0, 376]
[1, 7803, 5576, 0, 802, 194, 203, 9, 2025, 9324, 8050, 15759, 11, 5789, 14715, 485, 59130, 62639, 0, 542]
[4, 7403, 5921, 0, 929, 228, 141, 87, 1313, 7796, 8013, 16231, 3, 6017, 16664, 398, 52002, 50466, 4, 683]
[0, 7701, 4620, 0, 763, 135, 207, 153, 1639, 10184, 6990, 17428, 5, 6013, 13885, 223, 55981, 58041, 0, 713]
[0, 6982, 5385, 0, 935, 155, 62, 244, 1658, 9696, 6702, 17809, 5, 6134, 11958, 201, 57905, 50556, 0, 208]
[2, 7788, 5106, 0, 896, 105, 80, 60, 2206, 8922, 6844, 16517, 6, 5469, 17063, 480, 50777, 57942, 0, 738]
[0, 6702, 5980, 0, 1411, 127, 26, 128, 2200, 9425, 6730, 15232, 5, 5770, 13825, 399, 59097, 52572, 0, 257]
[0, 7940, 5798, 0, 1266, 288, 136, 174, 3335, 8880, 7398, 15637, 11, 5403, 14474, 425, 57902, 56559, 0, 435]
[0, 6453, 4993, 0, 796, 40, 227, 40, 2023, 10029, 7228, 17402, 10, 5491, 15213, 491, 58039, 48878, 0, 506]
[0, 6782, 6149, 0, 1117, 114, 45, 148, 1613, 9228, 6845, 16786, 8, 5266, 15779, 333, 59004, 58647, 0, 434]
[6, 5808, 7049, 0, 1015, 225, 60, 152, 1711, 9667, 6906, 16596, 15, 5583, 11920, 489, 49550, 56662, 0, 312]
[0, 6157, 6011, 0, 1112, 66, 104, 115, 2182, 8512, 7242, 17628, 4, 6001, 15784, 606, 57186, 56751, 0, 657]
[0, 5858, 6864, 0, 1217, 52, 406, 87, 2637, 9934, 7555, 17265, 9, 5651, 15642, 264, 55292, 50429, 0, 269]
[0, 8503, 4536, 0, 1194, 75, 347, 89, 2531, 8807, 6555, 16558, 7, 5301, 16864, 405, 52371, 54049, 0, 594]
[0, 7711, 7149, 0, 543, 62, 104, 77, 2225, 9241, 7696, 17221, 4, 4995, 13325, 300, 58758, 53694, 0, 589]
[0, 7488, 5062, 0, 936, 84, 210, 127, 2050, 9473, 7024, 15768, 7, 5018, 17176, 439, 56831, 55068, 23, 480]
