average_uptime,average_downtime,machine,e,ct,product
0 days 01:01:31.666666666,0 days 00:00:00.500000000,#20-2,0.9998645781609714,0 days 00:00:16.000000000,440
0 days 01:01:20.666666666,0 days 00:00:00.500000000,#20-1,0.9998641734957214,0 days 00:00:16.000000000,439
0 days 01:02:22.666666666,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:14.000000000,444
0 days 00:46:02.750000000,0 days 00:00:52.000000000,#70-2,0.9815258903987921,0 days 00:00:15.000000000,445
0 days 01:14:42.666666666,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:14.000000000,444
0 days 01:01:57.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:08.000000000,443
0 days 00:45:59.000000000,0 days 00:00:52.000000000,#70-1,0.9815012451085023,0 days 00:00:15.000000000,444
0 days 00:36:57.000000000,0 days 00:00:07.750000000,#30,0.996516462523879,0 days 00:00:18.000000000,441
0 days 01:14:14.333333333,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:16.000000000,444
0 days 00:22:50.125000000,0 days 00:00:21.000000000,#40,0.9849043040704466,0 days 00:00:15.000000000,442
0 days 01:19:59.000000000,0 days 00:00:08.000000000,#170,0.9983357603494903,0 days 00:00:11.000000000,374
0 days 01:00:59.333333333,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:18.000000000,437
0 days 01:02:25.333333333,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,446
0 days 01:02:16.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,444
0 days 01:14:33.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:28.000000000,222
0 days 01:16:05.333333333,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:16.000000000,442
0 days 01:14:30.000000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:29.000000000,446
0 days 01:14:31.666666666,0 days 00:00:00.000000000,#160,1.0,0 days 00:01:36.000000000,448
0 days 01:14:18.333333333,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:31.000000000,223
0 days 01:15:39.333333333,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,447
