average_uptime,average_downtime,machine,e,ct,product
0 days 00:20:08.350000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:15.000000000,1089
0 days 02:13:31.666666666,0 days 00:00:10.500000000,#110,0.9986911266698522,0 days 00:00:15.000000000,1082
0 days 00:40:31.800000000,0 days 00:00:14.111111111,#20-2,0.9942307342867459,0 days 00:00:13.000000000,1115
0 days 03:23:13.000000000,0 days 00:00:03.000000000,#150,0.9997540177107248,0 days 00:00:30.000000000,1095
0 days 00:40:29.500000000,0 days 00:00:20.777777777,#30,0.9915202358012444,0 days 00:00:16.000000000,1116
0 days 00:19:57.238095238,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,1120
0 days 00:59:12.714285714,0 days 00:00:13.666666666,#170,0.996167917323336,0 days 00:00:09.000000000,909
0 days 01:40:56.250000000,0 days 00:00:17.333333333,#70-2,0.9971461108901114,0 days 00:00:04.000000000,1097
0 days 02:14:27.000000000,0 days 00:00:14.000000000,#100,0.9982675411458978,0 days 00:00:17.000000000,1080
0 days 00:20:06.350000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,1091
0 days 00:19:07.380952380,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:31.000000000,558
0 days 03:18:20.500000000,0 days 00:00:22.000000000,#90,0.9981547494233592,0 days 00:00:16.000000000,1085
0 days 01:40:46.250000000,0 days 00:00:17.333333333,#70-1,0.9971414042851997,0 days 00:00:16.000000000,1097
0 days 00:20:24.150000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:13.000000000,1108
0 days 00:19:19.571428571,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:29.000000000,558
0 days 00:19:59.523809523,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,1102
0 days 00:20:22.850000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:14.000000000,1102
0 days 00:20:22.800000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:06.000000000,1104
0 days 00:20:13.350000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:14.000000000,1101
0 days 00:41:34.500000000,0 days 00:00:14.111111111,#20-1,0.9943749307939761,0 days 00:00:16.000000000,1116
