average_uptime,average_downtime,machine,e,ct,product
0 days 00:23:52.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:29.000000000,167
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,165
0 days 00:16:29.500000000,0 days 00:00:06.000000000,#20-2,0.9939728779507785,0 days 00:00:12.000000000,157
0 days 00:23:53.666666666,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:29.000000000,165
0 days 00:33:15.500000000,0 days 00:00:07.000000000,#30,0.9965043695380774,0 days 00:00:18.000000000,158
0 days 00:32:59.500000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,156
0 days 00:39:19.500000000,0 days 00:00:28.000000000,#170,0.9882722513089005,0 days 00:00:10.000000000,147
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#70-2,1.0,0 days 00:00:16.000000000,165
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:14.000000000,168
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:16.000000000,166
0 days 00:23:48.666666666,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:47.000000000,84
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:17.000000000,167
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#70-1,1.0,0 days 00:00:16.000000000,164
0 days 00:22:17.000000000,0 days 00:00:03.000000000,#40,0.9977611940298508,0 days 00:00:04.000000000,161
0 days 00:23:48.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:30.000000000,84
0 days 00:23:53.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,166
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:15.000000000,162
0 days 00:33:41.500000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:14.000000000,162
0 days 00:35:38.500000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:17.000000000,163
0 days 00:16:26.500000000,0 days 00:00:06.000000000,#20-1,0.9939546599496222,0 days 00:00:14.000000000,156
