average_uptime,average_downtime,machine,e,ct,product
0 days 00:20:16.500000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:34.000000000,192
0 days 00:20:05.750000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:14.000000000,191
0 days 00:40:17.000000000,0 days 00:00:00.000000000,#20-2,1.0,0 days 00:00:13.000000000,199
0 days 00:20:22.250000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:33.000000000,193
0 days 00:20:14.000000000,0 days 00:00:00.000000000,#30,1.0,0 days 00:00:16.000000000,199
0 days 00:20:00.500000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,197
0 days 00:22:20.750000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:10.000000000,170
0 days 00:19:46.500000000,0 days 00:00:00.000000000,#70-2,1.0,0 days 00:00:15.000000000,195
0 days 00:40:00.000000000,0 days 00:00:05.000000000,#100,0.997920997920998,0 days 00:00:16.000000000,191
0 days 00:19:50.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:08.000000000,194
0 days 00:20:11.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:42.000000000,98
0 days 00:19:55.500000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:05.000000000,192
0 days 00:19:42.000000000,0 days 00:00:00.000000000,#70-1,1.0,0 days 00:00:16.000000000,194
0 days 00:20:18.500000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:13.000000000,198
0 days 00:20:20.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:40.000000000,97
0 days 00:20:19.750000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:16.000000000,192
0 days 00:20:19.250000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:14.000000000,196
0 days 00:20:23.750000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:17.000000000,197
0 days 00:19:36.500000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:15.000000000,194
0 days 00:40:11.000000000,0 days 00:00:00.000000000,#20-1,1.0,0 days 00:00:16.000000000,198
