average_uptime,average_downtime,machine,e,ct,product
0 days 01:24:58.000000000,0 days 00:00:15.000000000,#20-2,0.9970663015841972,0 days 00:00:13.000000000,671
0 days 01:25:07.000000000,0 days 00:00:15.000000000,#20-1,0.9970714564623194,0 days 00:00:15.000000000,673
0 days 00:41:20.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,656
0 days 00:23:54.700000000,0 days 00:00:33.111111111,#70-2,0.9774418446213166,0 days 00:00:16.000000000,654
0 days 00:41:12.000000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:06.000000000,657
0 days 00:41:22.500000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:18.000000000,659
0 days 00:23:56.200000000,0 days 00:00:33.111111111,#70-1,0.9774648739394862,0 days 00:00:16.000000000,655
0 days 01:03:19.750000000,0 days 00:00:36.666666666,#30,0.9904424701871956,0 days 00:00:18.000000000,668
0 days 00:42:17.833333333,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:07.000000000,665
0 days 01:24:05.666666666,0 days 00:00:47.000000000,#40,0.9907710433302777,0 days 00:00:13.000000000,664
0 days 02:12:29.000000000,0 days 00:00:01.000000000,#170,0.999874213836478,0 days 00:00:10.000000000,531
0 days 00:42:45.666666666,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:21.000000000,675
0 days 00:48:43.800000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:09.000000000,651
0 days 00:48:55.400000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,653
0 days 00:42:03.333333333,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:33.000000000,332
0 days 00:42:02.500000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,661
0 days 00:42:33.833333333,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:32.000000000,669
0 days 00:39:59.166666666,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:16.000000000,669
0 days 01:25:01.333333333,0 days 00:00:34.000000000,#140,0.9933792029079576,0 days 00:00:31.000000000,337
0 days 00:41:11.833333333,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:05.000000000,654
