average_uptime,average_downtime,machine,e,ct,product
0 days 00:56:44.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:33.000000000,822
0 days 01:52:35.750000000,0 days 00:00:35.000000000,#110,0.9948459301255385,0 days 00:00:23.000000000,819
0 days 01:20:33.800000000,0 days 00:00:21.250000000,#20-2,0.995623114077095,0 days 00:00:07.000000000,835
0 days 00:56:48.875000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:32.000000000,822
0 days 00:23:30.588235294,0 days 00:00:19.625000000,#30,0.9862782699001064,0 days 00:00:07.000000000,834
0 days 00:44:46.666666666,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:07.000000000,832
0 days 02:31:35.666666666,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:09.000000000,669
0 days 03:46:35.000000000,0 days 00:00:27.000000000,#70-2,0.9980179122008516,0 days 00:00:08.000000000,828
0 days 01:04:44.714285714,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:14.000000000,822
0 days 00:56:45.250000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,828
0 days 00:56:32.750000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:38.000000000,414
0 days 01:04:43.000000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,825
0 days 03:46:35.500000000,0 days 00:00:27.000000000,#70-1,0.9980179849513672,0 days 00:00:07.000000000,828
0 days 00:45:02.000000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:07.000000000,833
0 days 00:56:47.500000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:38.000000000,414
0 days 00:45:43.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:16.000000000,821
0 days 00:50:39.625000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:07.000000000,834
0 days 00:50:38.125000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:07.000000000,834
0 days 03:22:17.000000000,0 days 00:00:17.000000000,#60,0.9986012835280567,0 days 00:00:07.000000000,829
0 days 01:20:25.200000000,0 days 00:00:21.250000000,#20-1,0.9956153473160767,0 days 00:00:12.000000000,834
