average_uptime,average_downtime,machine,e,ct,product
0 days 00:17:42.500000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:18.000000000,576
0 days 00:16:58.142857142,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,552
0 days 00:38:29.000000000,0 days 00:00:22.000000000,#20-2,0.9905619905619906,0 days 00:00:15.000000000,510
0 days 00:18:02.071428571,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,594
0 days 00:23:05.900000000,0 days 00:00:19.000000000,#30,0.9864759057584169,0 days 00:00:17.000000000,513
0 days 00:15:23.866666666,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:13.000000000,508
0 days 01:08:07.000000000,0 days 00:00:06.000000000,#170,0.9985340825800146,0 days 00:00:09.000000000,458
0 days 00:17:53.923076923,0 days 00:00:00.000000000,#70-2,1.0,0 days 00:00:15.000000000,527
0 days 00:17:04.285714285,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:14.000000000,544
0 days 00:16:41.071428571,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,530
0 days 00:17:10.142857142,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:33.000000000,290
0 days 00:16:38.357142857,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,536
0 days 00:17:51.230769230,0 days 00:00:00.000000000,#70-1,1.0,0 days 00:00:15.000000000,525
0 days 00:16:41.428571428,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:16.000000000,519
0 days 00:17:52.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:36.000000000,299
0 days 00:18:02.714285714,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:12.000000000,597
0 days 00:16:35.285714285,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,519
0 days 00:16:38.285714285,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:18.000000000,519
0 days 00:17:44.461538461,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,519
0 days 00:38:30.000000000,0 days 00:00:22.200000000,#20-1,0.9904810908155389,0 days 00:00:15.000000000,509
