average_uptime,average_downtime,machine,e,ct,product
0 days 00:09:22.789473684,0 days 00:00:10.944444444,#20-2,0.980924180882124,0 days 00:00:16.000000000,493
0 days 00:09:22.368421052,0 days 00:00:10.944444444,#20-1,0.9809101712124819,0 days 00:00:17.000000000,494
0 days 00:45:31.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:17.000000000,487
0 days 00:45:29.500000000,0 days 00:00:18.000000000,#70-2,0.9934485896269336,0 days 00:00:14.000000000,489
0 days 01:31:40.500000000,0 days 00:00:28.000000000,#100,0.9949353350818486,0 days 00:00:17.000000000,489
0 days 00:45:30.250000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:07.000000000,488
0 days 00:45:22.750000000,0 days 00:00:18.000000000,#70-1,0.9934324546200858,0 days 00:00:16.000000000,487
0 days 00:36:11.600000000,0 days 00:00:09.750000000,#30,0.995530290874917,0 days 00:00:17.000000000,491
0 days 00:46:14.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:16.000000000,493
0 days 00:45:26.500000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:16.000000000,489
0 days 00:56:29.500000000,0 days 00:00:05.666666666,#170,0.9983309606795933,0 days 00:00:10.000000000,382
0 days 00:45:18.250000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:14.000000000,491
0 days 00:45:46.500000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,489
0 days 00:45:33.500000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:03.000000000,487
0 days 00:46:09.500000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:23.000000000,246
0 days 00:36:27.600000000,0 days 00:00:28.250000000,#110,0.9872509420764041,0 days 00:00:17.000000000,489
0 days 00:46:16.000000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,495
0 days 00:46:14.500000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:13.000000000,495
0 days 00:46:13.250000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:29.000000000,249
0 days 00:45:52.250000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,489
