average_uptime,average_downtime,machine,e,ct,product
0 days 00:18:47.000000000,0 days 00:00:10.000000000,#20-2,0.9912049252418645,0 days 00:00:13.000000000,133
0 days 00:18:47.000000000,0 days 00:00:10.000000000,#20-1,0.9912049252418645,0 days 00:00:14.000000000,133
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,131
0 days 00:06:06.555555555,0 days 00:00:12.750000000,#70-2,0.966385939216355,0 days 00:00:18.000000000,128
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,127
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:15.000000000,132
0 days 00:06:06.555555555,0 days 00:00:12.750000000,#70-1,0.966385939216355,0 days 00:00:16.000000000,128
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#30,1.0,0 days 00:00:18.000000000,133
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:30.000000000,125
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:15.000000000,133
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:10.000000000,91
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,133
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:08.000000000,128
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:17.000000000,128
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:40.000000000,64
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:14.000000000,126
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:29.000000000,123
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,124
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:36.000000000,62
0 days 00:28:20.500000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:17.000000000,127
