average_uptime,average_downtime,machine,e,ct,product
0 days 00:22:31.000000000,0 days 00:00:29.500000000,#20-2,0.9786309308221659,0 days 00:00:16.000000000,188
0 days 00:22:27.666666666,0 days 00:00:29.500000000,#20-1,0.9785792085198977,0 days 00:00:16.000000000,188
0 days 00:16:53.750000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:15.000000000,175
0 days 00:16:44.000000000,0 days 00:00:00.000000000,#70-2,1.0,0 days 00:00:16.000000000,171
0 days 00:16:41.250000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:15.000000000,166
0 days 00:17:01.000000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:15.000000000,177
0 days 00:16:44.500000000,0 days 00:00:00.000000000,#70-1,1.0,0 days 00:00:16.000000000,171
0 days 00:16:42.000000000,0 days 00:00:28.333333333,#30,0.9725008088000558,0 days 00:00:17.000000000,185
0 days 00:16:54.750000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:18.000000000,166
0 days 00:17:13.500000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:17.000000000,180
0 days 00:17:13.750000000,0 days 00:00:01.333333333,#170,0.9987118589488765,0 days 00:00:10.000000000,153
0 days 00:17:05.250000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:16.000000000,184
0 days 00:16:40.500000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,170
0 days 00:16:47.250000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,173
0 days 00:16:41.250000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:25.000000000,82
0 days 00:16:37.750000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:14.000000000,163
0 days 00:17:09.250000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,169
0 days 00:17:10.750000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:16.000000000,170
0 days 00:17:07.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:37.000000000,85
0 days 00:16:42.250000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,168
