average_uptime,average_downtime,machine,e,ct,product
0 days 00:19:32.000000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:16.000000000,105
0 days 00:19:12.500000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,101
0 days 00:19:22.000000000,0 days 00:00:11.000000000,#20-2,0.9906223358908781,0 days 00:00:12.000000000,83
0 days 00:19:32.500000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:29.000000000,103
0 days 00:19:23.000000000,0 days 00:00:00.000000000,#30,1.0,0 days 00:00:16.000000000,83
0 days 00:19:28.500000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:12.000000000,83
0 days 00:20:16.000000000,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:10.000000000,86
0 days 00:18:31.500000000,0 days 00:00:56.000000000,#70-2,0.95203426124197,0 days 00:00:17.000000000,90
0 days 00:19:34.000000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:14.000000000,99
0 days 00:18:58.500000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:14.000000000,92
0 days 00:19:28.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:35.000000000,52
0 days 00:18:58.500000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:17.000000000,96
0 days 00:18:31.000000000,0 days 00:00:56.000000000,#70-1,0.9520137103684662,0 days 00:00:16.000000000,89
0 days 00:19:13.000000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:13.000000000,84
0 days 00:19:24.500000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:39.000000000,52
0 days 00:19:27.500000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:14.000000000,103
0 days 00:19:03.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:17.000000000,86
0 days 00:19:04.500000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:19.000000000,85
0 days 00:19:00.000000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:17.000000000,87
0 days 00:19:24.000000000,0 days 00:00:11.000000000,#20-1,0.9906382978723405,0 days 00:00:16.000000000,83
