average_uptime,average_downtime,machine,e,ct,product
0 days 00:18:02.666666666,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:36.000000000,122
0 days 00:17:56.000000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,123
0 days 00:26:47.000000000,0 days 00:00:00.000000000,#20-2,1.0,0 days 00:00:13.000000000,129
0 days 00:18:02.666666666,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:34.000000000,123
0 days 00:26:29.500000000,0 days 00:00:32.000000000,#30,0.9802651865556583,0 days 00:00:17.000000000,130
0 days 00:26:45.500000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:27.000000000,126
0 days 00:32:06.500000000,0 days 00:00:01.000000000,#170,0.9994811932555123,0 days 00:00:10.000000000,105
0 days 00:26:35.000000000,0 days 00:00:26.000000000,#70-2,0.9839605181986428,0 days 00:00:17.000000000,133
0 days 00:26:45.500000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,123
0 days 00:26:50.000000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:09.000000000,130
0 days 00:18:00.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:44.000000000,62
0 days 00:26:45.500000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,126
0 days 00:26:33.500000000,0 days 00:00:26.000000000,#70-1,0.9839456622414325,0 days 00:00:16.000000000,133
0 days 00:26:45.500000000,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:17.000000000,130
0 days 00:18:02.333333333,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:37.000000000,63
0 days 00:17:58.666666666,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:10.000000000,123
0 days 00:26:47.000000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:14.000000000,132
0 days 00:26:45.500000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:15.000000000,131
0 days 00:26:47.500000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:17.000000000,133
0 days 00:26:45.500000000,0 days 00:00:00.000000000,#20-1,1.0,0 days 00:00:14.000000000,128
